,sender,reciever,event
0,1. Ivica Ivusic,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,6
16,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,39. Damjan Bohar,9
24,2. Igor Silva Silva de Almeida,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,6
26,2. Igor Silva Silva de Almeida,22. Danijel Loncar,5
32,2. Igor Silva Silva de Almeida,9. Ante Erceg,7
34,20. Mario Jurcevic,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,11
36,20. Mario Jurcevic,39. Damjan Bohar,5
37,20. Mario Jurcevic,5. Laszlo Kleinheisler,10
38,20. Mario Jurcevic,6. Ante Majstorovic,7
39,20. Mario Jurcevic,7. Vedran Jugovic,5
43,22. Danijel Loncar,2. Igor Silva Silva de Almeida,8
48,22. Danijel Loncar,6. Ante Majstorovic,12
65,39. Damjan Bohar,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,5
66,39. Damjan Bohar,20. Mario Jurcevic,8
69,39. Damjan Bohar,5. Laszlo Kleinheisler,10
77,5. Laszlo Kleinheisler,39. Damjan Bohar,12
83,6. Ante Majstorovic,20. Mario Jurcevic,14
84,6. Ante Majstorovic,22. Danijel Loncar,13
93,7. Vedran Jugovic,39. Damjan Bohar,5
94,7. Vedran Jugovic,5. Laszlo Kleinheisler,8
98,9. Ante Erceg,2. Igor Silva Silva de Almeida,6
