ID,start,end,code,label/0/group,label/0/text,label/1/group,label/1/text,label/2/group,label/2/text,pos_x,pos_y
1,5.92,25.92,5. Laszlo Kleinheisler,Team,NK Osijek,Action,Passes accurate,Half,1st half,52.5,34.0
2,8.87,28.87,22. Danijel Loncar,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,38.8,29.5
3,8.87,28.87,22. Danijel Loncar,Team,NK Osijek,Action,Lost balls,Half,1st half,84.6,63.5
4,11.79,31.79,13. Ramon Nazareno Mierez Ramon Nazareno Mierez,Team,NK Osijek,Action,Fouls,Half,1st half,84.7,65.2
5,15.92,16.92,Start,,,,,,,,
6,19.97,39.97,2. Edis Malikji,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,21.0,3.1
7,22.87,42.87,6. Ante Majstorovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,36.7,60.8
8,22.87,42.87,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Lost balls,Half,1st half,68.3,7.2
9,22.87,42.87,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,68.3,7.2
10,22.87,42.87,6. Ante Majstorovic,Team,NK Osijek,Action,Challenges (won),Half,1st half,36.7,60.8
11,22.87,42.87,6. Ante Majstorovic,Team,NK Osijek,Action,Air challenges (won),Half,1st half,36.7,60.8
12,22.87,42.87,21. Aliyu Ibrahim,Team,NK Lokomotiva,Action,Air challenges (lost),Half,1st half,68.3,7.2
13,25.31,45.31,39. Damjan Bohar,Team,NK Osijek,Action,Passes accurate,Half,1st half,50.7,66.8
14,27.54,47.54,5. Laszlo Kleinheisler,Team,NK Osijek,Action,Passes accurate,Half,1st half,46.7,54.6
15,28.6,48.6,7. Vedran Jugovic,Team,NK Osijek,Action,Lost balls,Half,1st half,47.4,37.8
16,28.6,48.6,7. Vedran Jugovic,Team,NK Osijek,Action,Lost balls (in opp. half),Half,1st half,47.4,37.8
17,28.6,48.6,7. Vedran Jugovic,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,40.7,47.1
18,29.97,49.97,11. Ivan Celikovic,Team,NK Lokomotiva,Action,Interceptions,Half,1st half,57.6,30.2
19,29.97,49.97,11. Ivan Celikovic,Team,NK Lokomotiva,Action,Interceptions (in opp. half),Half,1st half,57.6,30.2
20,30.09,50.09,25. Marin Pilj,Team,NK Osijek,Action,Tackles (Unsuccessful actions),Half,1st half,48.1,37.4
21,30.09,50.09,25. Marin Pilj,Team,NK Osijek,Action,Challenges (lost),Half,1st half,48.1,37.4
22,30.09,50.09,11. Ivan Celikovic,Team,NK Lokomotiva,Action,Dribbles (Successful actions),Half,1st half,56.9,30.6
23,31.03,51.03,11. Ivan Celikovic,Team,NK Lokomotiva,Action,Passes accurate,Half,1st half,56.5,29.4
24,32.14,52.14,17. Indrit Tuci,Team,NK Lokomotiva,Action,Lost balls,Half,1st half,60.1,24.0
25,32.14,52.14,7. Vedran Jugovic,Team,NK Osijek,Action,Tackles (Successful actions),Half,1st half,44.9,44.0
26,32.14,52.14,7. Vedran Jugovic,Team,NK Osijek,Action,Challenges (won),Half,1st half,44.9,44.0
27,32.14,52.14,17. Indrit Tuci,Team,NK Lokomotiva,Action,Challenges (lost),Half,1st half,60.1,24
28,32.45,52.45,7. Vedran Jugovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,47.1,45.0
29,34.99,54.99,39. Damjan Bohar,Team,NK Osijek,Action,Passes accurate,Half,1st half,54.7,56.3
30,36.66,56.66,20. Mario Jurcevic,Team,NK Osijek,Action,Passes accurate,Half,1st half,39.7,60.5
31,39.88,59.88,6. Ante Majstorovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,32.8,52.1
32,43.01,63.01,22. Danijel Loncar,Team,NK Osijek,Action,Passes accurate,Half,1st half,31.4,22.5
33,46.41,66.41,6. Ante Majstorovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,30.6,46.3
34,49.33,69.33,20. Mario Jurcevic,Team,NK Osijek,Action,Passes accurate,Half,1st half,38.4,60.4
35,51.5,71.5,6. Ante Majstorovic,Team,NK Osijek,Action,Passes accurate,Half,1st half,35.5,51.6
36,55.75,75.75,22. Danijel Loncar,Team,NK Osijek,Action,Passes into the penalty box,Half,1st half,41.9,23.2
37,55.75,75.75,22. Danijel Loncar,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,41.9,23.2
38,59.44,79.44,2. Edis Malikji,Team,NK Lokomotiva,Action,Interceptions,Half,1st half,14.0,20.5
39,109.05,129.05,20. Mario Jurcevic,Team,NK Osijek,Action,Passes into the penalty box,Half,1st half,105.0,68.0
40,109.05,129.05,20. Mario Jurcevic,Team,NK Osijek,Action,Passes (inaccurate),Half,1st half,105.0,68.0
41,110.77,130.77,17. Indrit Tuci,Team,NK Lokomotiva,Action,Interceptions,Half,1st half,12.6,35.9
42,114.13,134.13,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Picking-ups,Half,1st half,65.9,27.2
43,114.13,134.13,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Passes accurate,Half,1st half,65.9,27.2
44,114.13,134.13,2. Igor Silva Silva de Almeida,Team,NK Osijek,Action,Picking-ups (in opp. half),Half,1st half,65.9,27.2
