,sender,reciever,event
1,Almeida,Erceg,7
7,Almeida,Loncar,5
9,Almeida,Majstorovic,4
10,Almeida,Mierez,6
18,Bohar,Jurcevic,8
19,Bohar,Kleinheisler,10
21,Bohar,Mierez,5
22,Bohar,Pilj,4
23,Erceg,Almeida,6
35,Ivusic,Mierez,6
36,Jugovic,Almeida,4
37,Jugovic,Bohar,5
39,Jugovic,Kleinheisler,8
40,Jugovic,Loncar,4
43,Jurcevic,Bohar,5
46,Jurcevic,Jugovic,5
47,Jurcevic,Kleinheisler,10
48,Jurcevic,Loncar,4
49,Jurcevic,Majstorovic,7
50,Jurcevic,Mierez,11
52,Kleinheisler,Bohar,12
67,Loncar,Almeida,8
71,Loncar,Kleinheisler,4
73,Loncar,Majstorovic,12
81,Majstorovic,Jugovic,4
82,Majstorovic,Jurcevic,14
84,Majstorovic,Loncar,13
88,Mierez,Bohar,9
97,Pilj,Bohar,4
